1,POTATO BOWL,6.5,Utah State,Akron,1,0
2,BOCA RATON BOWL,2,Temple,Toledo,1,0
3,POINSETTIA BOWL,8.5,Boise State,Northern Ilinois,1,1
4,GODADDY.COM BOWL ,7.5,Bowling Green,Georgia Southern,1,0
5,BAHAMAS BOWL ,4.5,Western Michigan,Middel Tennesee,1,1
6,HAWAII BOWL ,1.5,Cincinnati,San Diego State,1,0
7,ST PETERSBURG BOWL,4,Marshall,Connecticut,1,1
8,SUN BOWL ,2.5,Washington State,Miami,1,1
9,HEART OF DALLAS,8.5,Washington  ,Sourthern Miss,1,1
10,PINSTRIPE BOWL ,2,Indiana,Duke,1,0
11,INDEPENDENCE BOWL,13.5,Virginia Tech,Tulsa,1,1
12,FOSTER FARMS BOWL   ,6.5,UCLA,Nebraska,1,0
13,MILITARY BOWL,3.5,Navy,Pittsbourgh,1,1
14,QUICK LANE BOWL,6,Minnesota,Central Michigan,1,1
15,ARMED FORCES BOWL ,7,California,Air Force,1,
16,RUSSELL ATHLETIC BOWL,2,Baylor,Nortth Carolina,1,
17, ARIZONA BOWL,3,Colorado State,Nevada,1,
18,TEXAS BOWL,7,LSU,Texas Tech,1,
19,BIRMINGHAM BOWL,2.5,Auburn,Memphis,1,
20,BELK BOWL,5.5,Mississippi St,NC State,1,
21,MUSIC CITY BOWL  ,4.5,Louisville,Texas A&M,1,
22,HOLIDAY BOWL   ,3,USC,Wisconsin,1,
23,PEACH BOWL  ,7,Florida State,Houston,1,
24,ORANGE BOWL  ,3.5,Oklahoma,Clemson,2,
25,COTTON BOWL ,9.5,Alabama,Michigan State,2,
26,OUTBACK BOWL  ,8.5,Tennessee,Northwestern,1,
27,FIESTA BOWL  ,6.5,Ohio State,Notre Dame,2,
28,CITRUS BOWL,4.5,Michigan,Florida,1,
29,ROSE BOWL ,6.5,Stanford,Iowa,2,
30,SUGAR BOWL ,7,Ole Miss,Oklahoma State,2,
31,TAXSLAYER.COM GATOR,6.5,Georgia,Penn State,1,
32,LIBERTY BOWL,13,Arkansas,Kansas State,1,
33,ALAMO BOWL ,0,Oregon,TCU,1,
34,CACTUS BOWL ,1,West Virginia,Arizona State,1,
