#MamaBear,Aggie Austin,Badgers Rock!,Barkside Ballers (Wylie & Flapjack),Bear-in-Law,Big 12 Bibby,bugabugaroo,COOKIES,Dazed & Confoosballed,Dbo,em&em,GlamKam,Kylo Bad Dog,LadyLonghorn,MamaDAWG,Manda Panda,Rando Cal Rece Ian,Sascha Picks Dogs,SEC Shipley,Sir Fluffy McFlufferson,The New Guy,WD50
0,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,1
0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0
1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,1,1,1
1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1
1,1,0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1
1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1
1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1
0,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1
1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1
1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0
1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,1
0,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1
0,1,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1
1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1
1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1
1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1
1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1
1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1
1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1
1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0
0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
1,1,1,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1
0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0
1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1
0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1
1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,1
0,1,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0
1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,0,1,0,1
1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1
0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0,1
1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1
0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0
1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1
1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1
0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1
1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1
1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1
1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1
